
1445636458.6143	 Player Topblast 1876 	 has left the game at point: 155 240
1445636508.1422	 Player Topblast 1876 	 has attacked a mob, player hp:50
1445636518.9729	 Player Topblast 1876 	 has left the game at point: 155 235
1445636522.9473	Player Topblast 1876 	 has left the game at point:155 235
1445636530.7916	 Player Topblast has logged in and is assigned the id 2106  point:14 224
1445636533.4602	 Player Topblast 2106 	 is at point: 19 216
1445636535.6982	 Player Topblast 2106 	 is at point: 20 204
1445636540.7137	 Player Topblast 2106 	 is at point: 6 192
1445636543.0379	 Player Topblast 2106 	 is at point: 9 180
1445636545.3463	 Player Topblast 2106 	 is at point: 21 168
1445636548.369	 Player Topblast 2106 	 is at point: 23 156
1445636552.9356	 Player Topblast 2106 	 is at point: 29 150
1445636555.5099	 Player Topblast 2106 	 is at point: 43 144
1445636558.0178	 Player Topblast 2106 	 is at point: 34 132
1445636560.8743	 Player Topblast 2106 	 is at point: 36 120
1445636563.8134	 Player Topblast 2106 	 is at point: 42 108
1445636567.6824	 Player Topblast 2106 	 is at point: 31 96
1445636571.1706	 Player Topblast 2106 	 is at point: 28 92
1445636575.4553	 Player Topblast 2106 	 has left the game at point: 155 240
1445636578.2692	 Player Topblast 2106 	 is at point: 160 228
1445636592.7765	 Player Topblast 2106 	 has left the game at point: 142 224
1445636596.6344	 Player Topblast has logged in and is assigned the id 2106  point:44 133
1445636598.6112	 Player Topblast 2106 	 is at point: 44 132
1445636600.8962	 Player Topblast 2106 	 is at point: 50 120
1445636603.1552	 Player Topblast 2106 	 is at point: 53 108
1445636606.6923	 Player Topblast 2106 	 has left the game at point: 157 264
1445636610.4634	 Player Topblast 2106 	 has left the game at point: 38 93
1445636612.4545	 Player Topblast 2106 	 has left the game at point: 147 257
1445636618.9643	 Player Topblast 2106 	 has left the game at point: 49 97
1445636622.6695	 Player Topblast 2106 	 is at point: 29 96
1445636624.9266	 Player Topblast 2106 	 is at point: 28 88
1445636628.25	 Player Topblast 2106 	 has left the game at point: 155 240
1445636639.9756	 Player Topblast 2106 	 has attacked a mob, player hp:66
1445636640.7855	 Player Topblast 2106 	 has attacked a mob, player hp:54
1445636641.5995	 Player Topblast 2106 	 has attacked a mob, player hp:54
1445636642.4128	 Player Topblast 2106 	 has attacked a mob, player hp:42
1445636642.4135	Player Topblast 2106 	has killed skeleton 73174 at point: 154 235
1445636643.2271	 Player Topblast 2106 	 has attacked a mob, player hp:42
1445636668.2888	 Player Topblast 2106 	 is at point: 160 228
1445636692.2553	 Player Topblast 2106 	 has attacked a mob, player hp:78
1445636693.064	 Player Topblast 2106 	 has attacked a mob, player hp:75
1445636693.8778	 Player Topblast 2106 	 has attacked a mob, player hp:64
1445636694.6912	 Player Topblast 2106 	 has attacked a mob, player hp:64
1445636694.6921	Player Topblast 2106 	has killed skeleton 73169 at point: 153 223
1445636722.6086	 Player Topblast 2106 	 is at point: 140 224
1445636725.4475	 Player Topblast 2106 	 has left the game at point: 140 224
1445636728.9521	 Player Topblast has logged in and is assigned the id 2106  point:43 133
1445636730.3841	 Player Topblast 2106 	 is at point: 41 132
1445636733.2569	 Player Topblast 2106 	 is at point: 45 120
1445636735.4277	 Player Topblast 2106 	 is at point: 45 108
1445636772.6768	 Player Topblast 2106 	 has attacked a mob, player hp:95
1445636775.7656	 Player Topblast 2106 	 has attacked a mob, player hp:95
1445636776.5793	 Player Topblast 2106 	 has attacked a mob, player hp:92
1445636777.3928	 Player Topblast 2106 	 has attacked a mob, player hp:76
1445636778.2072	 Player Topblast 2106 	 has attacked a mob, player hp:68
1445636779.0225	 Player Topblast 2106 	 has attacked a mob, player hp:59
1445636779.8352	 Player Topblast 2106 	 has attacked a mob, player hp:49
1445636780.6488	 Player Topblast 2106 	 has attacked a mob, player hp:36
1445636781.4618	 Player Topblast 2106 	 has attacked a mob, player hp:22
1445636782.2761	 Player Topblast 2106 	 has attacked a mob, player hp:5
1445636782.277	Player Topblast 2106 	has killed ogre 7584 at point: 40 105
1445636787.0599	Player Topblast 2106 	 has left the game at point:40 104
1445636799.659	 Player Topblast has logged in and is assigned the id 2461  point:41 221
1445636802.8882	 Player Topblast 2461 	 is at point: 41 216
1445636806.3059	 Player Topblast 2461 	 is at point: 44 204
1445636808.581	 Player Topblast 2461 	 is at point: 44 192
1445636810.7563	 Player Topblast 2461 	 is at point: 43 180
1445636813.1811	 Player Topblast 2461 	 is at point: 43 168
1445636816.9339	 Player Topblast 2461 	 is at point: 43 156
1445636819.442	 Player Topblast 2461 	 is at point: 43 144
1445636821.6454	 Player Topblast 2461 	 is at point: 44 132
1445636824.277	 Player Topblast 2461 	 is at point: 46 120
1445636826.4667	 Player Topblast 2461 	 is at point: 49 108
1445636829.4907	 Player Topblast 2461 	 has attacked a mob, player hp:77
1445636830.3025	 Player Topblast 2461 	 has attacked a mob, player hp:68
1445636831.1159	 Player Topblast 2461 	 has attacked a mob, player hp:57
1445636831.9298	 Player Topblast 2461 	 has attacked a mob, player hp:51
1445636832.7438	 Player Topblast 2461 	 has attacked a mob, player hp:36
1445636833.5578	 Player Topblast 2461 	 has attacked a mob, player hp:35
1445636834.384	 Player Topblast 2461 	 has attacked a mob, player hp:30
1445636835.1847	 Player Topblast 2461 	 has attacked a mob, player hp:17
1445636835.9997	 Player Topblast 2461 	 has attacked a mob, player hp:6
1445636836.0006	Player Topblast 2461 	has killed ogre 7582 at point: 50 102
1445636853.4023	 Player Topblast 2461 	 has attacked a mob, player hp:98
1445636854.217	 Player Topblast 2461 	 has attacked a mob, player hp:90
1445636855.0296	 Player Topblast 2461 	 has attacked a mob, player hp:88
1445636855.8443	 Player Topblast 2461 	 has attacked a mob, player hp:86
1445636856.6577	 Player Topblast 2461 	 has attacked a mob, player hp:79
1445636857.472	 Player Topblast 2461 	 has attacked a mob, player hp:67
1445636858.2848	 Player Topblast 2461 	 has attacked a mob, player hp:51
1445636858.2856	Player Topblast 2461 	has killed snake 71183 at point: 30 103
1445636862.2208	 Player Topblast 2461 	 is at point: 33 96
1445636864.4793	 Player Topblast 2461 	 is at point: 36 84
1445636866.0771	 Player Topblast 2461 	 is at point: 33 85
1445636868.1161	 Player Topblast 2461 	 has attacked a mob, player hp:81
1445636868.9303	 Player Topblast 2461 	 has attacked a mob, player hp:81
1445636869.7443	 Player Topblast 2461 	 has attacked a mob, player hp:68
1445636870.5585	 Player Topblast 2461 	 has attacked a mob, player hp:60
1445636871.3717	 Player Topblast 2461 	 has attacked a mob, player hp:54
1445636872.1844	 Player Topblast 2461 	 has attacked a mob, player hp:44
1445636872.9987	 Player Topblast 2461 	 has attacked a mob, player hp:32
1445636873.812	 Player Topblast 2461 	 has attacked a mob, player hp:26
1445636873.8129	Player Topblast 2461 	has killed ogre 7575 at point: 32 90
1445636882.9462	 Player Topblast 2461 	 is at point: 28 88
1445636885.1265	 Player Topblast 2461 	 has left the game at point: 155 240
1445636902.4598	 Player Topblast 2461 	 has left the game at point: 18 86
1445636903.3283	 Player Topblast 2461 	 has left the game at point: 18 86
1445636907.9655	 Player Topblast has logged in and is assigned the id 2461  point:44 135
1445636909.8333	 Player Topblast 2461 	 is at point: 43 132
1445636912.7569	 Player Topblast 2461 	 has left the game at point: 43 132
1445636912.8383	 Player Topblast 2461 	 has attacked a mob, player hp:-7
1445636916.1835	 Player Topblast has logged in and is assigned the id 2461  point:41 134
1445636918.7672	 Player Topblast 2461 	 is at point: 42 145
1445636920.9439	 Player Topblast 2461 	 is at point: 42 157
1445636922.5565	 Player sjhak has logged in and is assigned the id 2681  point:44 233
1445636923.5195	 Player Topblast 2461 	 is at point: 42 169
1445636925.7916	 Player Topblast 2461 	 is at point: 42 181
1445636927.9836	 Player Topblast 2461 	 is at point: 42 193
1445636930.1594	 Player Topblast 2461 	 is at point: 42 205
1445636930.7516	 Player sjhak has logged in and is assigned the id 2708  point:14 234
1445636932.9949	 Player sjhak 2708 	 is at point: 17 228
1445636933.9124	 Player Topblast 2461 	 is at point: 44 217
1445636937.0681	 Player Topblast 2461 	 is at point: 46 229
1445636938.323	 Player sjhak 2708 	 is at point: 19 216
1445636942.1632	 Player sjhak 2708 	 is at point: 19 204
1445636946.9729	 Player sjhak 2708 	 is at point: 6 192
1445636949.5134	 Player sjhak 2708 	 is at point: 13 180
1445636954.3226	Player Topblast 2461 	 has left the game at point:44 233
1445636954.7724	 Player sjhak 2708 	 is at point: 18 168
1445636957.6345	 Player Topblast has logged in and is assigned the id 2783  point:69 223
1445636958.714	 Player sjhak 2708 	 is at point: 15 157
1445636960.4365	 Player Topblast 2783 	 is at point: 57 229
1445636961.8362	 Player sjhak 2708 	 is at point: 29 150
1445636962.2437	 Player Topblast 2783 	 is at point: 56 234
1445636964.1261	 Player sjhak 2708 	 is at point: 47 146
1445636975.6148	 Player sjhak 2708 	 is at point: 41 132
1445636977.9547	 Player sjhak 2708 	 is at point: 41 120
1445637014.2195	Player sjhak 2708 	 has left the game at point:37 119
1445637025.7748	 Player sjhak has logged in and is assigned the id 2934  point:40 235
1445637044.3487	Player Topblast 2783 	 has left the game at point:43 233
1445637049.4925	 Player Topblast has logged in and is assigned the id 2987  point:14 223
1445637053.2397	 Player sjhak 2934 	 is at point: 28 233
1445637055.4767	 Player sjhak 2934 	 is at point: 11 228
1445637100.7314	Player Topblast 2987 	 has left the game at point:14 224
1445637103.3165	 Player Topblast has logged in and is assigned the id 3109  point:44 212
1445637116.3923	Player Topblast 3109 	 has left the game at point:50 212
1445637119.017	 Player Topblast has logged in and is assigned the id 3148  point:43 208
1445637132.3493	Player Topblast 3148 	 has left the game at point:50 212
1445637137.8765	 Player Topblast has logged in and is assigned the id 3194  point:68 221
1445637145.2681	Player Topblast 3194 	 has left the game at point:79 224
1445637240.4561	 Player Topblast has logged in and is assigned the id 3415  point:40 210
1445637258.5407	Player Topblast 3415 	 has left the game at point:51 209
1445637284.993	 Player Topblast has logged in and is assigned the id 3524  point:44 234
1445637339.0697	Player Topblast 3524 	 has left the game at point:40 234
1445637366.8209	 Player Topblast has logged in and is assigned the id 3706  point:44 236
1445637490.9593	Player Topblast 3706 	 has left the game at point:42 233
1445637538.6295	 Player Topblast has logged in and is assigned the id 4056  point:15 234
1445637541.8228	 Player Topblast 4056 	 is at point: 15 228
1445637543.4494	 Player Topblast 4056 	 is at point: 16 229
1445637545.8905	 Player Topblast 4056 	 is at point: 15 228
1445637559.1103	 Player Topblast 4056 	 is at point: 20 216
1445637561.6499	 Player Topblast 4056 	 is at point: 20 204
1445637567.23	 Player Topblast 4056 	 is at point: 6 192
1445637569.4773	 Player Topblast 4056 	 is at point: 15 180
1445637583.8886	 Player Topblast 4056 	 has attacked a mob, player hp:99
1445637584.7362	 Player Topblast 4056 	 has attacked a mob, player hp:89
1445637584.7367	Player Topblast 4056 	has killed bat 78164 at point: 25 180
1445637591.2607	 Player Topblast 4056 	 is at point: 23 168
1445637594.7488	 Player Topblast 4056 	 has attacked a mob, player hp:62
1445637595.5624	 Player Topblast 4056 	 has attacked a mob, player hp:62
1445637595.5632	Player Topblast 4056 	has killed bat 78139 at point: 28 159
1445637597.8693	 Player Topblast 4056 	 is at point: 29 156
1445637598.4317	 Player Topblast 4056 	 is at point: 29 156
1445637602.6538	 Player Topblast 4056 	 has attacked a mob, player hp:75
1445637603.4681	 Player Topblast 4056 	 has attacked a mob, player hp:65
1445637603.4689	Player Topblast 4056 	has killed snake 71193 at point: 42 156
1445637606.6049	 Player Topblast 4056 	 has attacked a mob, player hp:84
1445637607.4192	 Player Topblast 4056 	 has attacked a mob, player hp:75
1445637608.2324	 Player Topblast 4056 	 has attacked a mob, player hp:75
1445637608.2335	Player Topblast 4056 	has killed snake 71197 at point: 43 151
1445637613.0149	 Player Topblast 4056 	 has attacked a mob, player hp:91
1445637613.8285	 Player Topblast 4056 	 has attacked a mob, player hp:78
1445637614.6426	 Player Topblast 4056 	 has attacked a mob, player hp:72
1445637614.6435	Player Topblast 4056 	has killed snake 71186 at point: 42 146
1445637618.6286	 Player Topblast 4056 	 has attacked a mob, player hp:98
1445637621.5841	 Player Topblast 4056 	 is at point: 44 157
1445637623.7594	 Player Topblast 4056 	 is at point: 44 169
1445637650.0451	Player Topblast 4056 	 has left the game at point:44 169
1445637652.7642	 Player Topblast has logged in and is assigned the id 4344  point:16 234
1445637656.028	 Player Topblast 4344 	 is at point: 16 228
1445637660.7504	 Player Topblast 4344 	 is at point: 18 216
1445637662.9104	 Player Topblast 4344 	 is at point: 21 204
1445637668.6262	 Player Topblast 4344 	 is at point: 6 192
1445637670.9941	 Player Topblast 4344 	 is at point: 7 180
1445637673.5317	 Player Topblast 4344 	 is at point: 22 168
1445637678.8497	 Player Topblast 4344 	 is at point: 29 161
1445637683.0967	 Player Topblast 4344 	 is at point: 29 161
1445637688.8091	 Player Topblast 4344 	 has attacked a mob, player hp:94
1445637689.6224	 Player Topblast 4344 	 has attacked a mob, player hp:94
1445637690.4357	 Player Topblast 4344 	 has attacked a mob, player hp:80
1445637691.2497	 Player Topblast 4344 	 has attacked a mob, player hp:67
1445637692.0635	 Player Topblast 4344 	 has attacked a mob, player hp:65
1445637692.0644	Player Topblast 4344 	has killed snake 71189 at point: 43 156
1445662208.7437	 Player sjhak has logged in and is assigned the id 952  point:18 211
1445662219.0239	Player sjhak 952 	 has left the game at point:19 209
1445662959.4571	 Player sjhak has logged in and is assigned the id 943  point:72 223
1445662972.617	 Player Topblast has logged in and is assigned the id 982  point:16 223
1445662974.054	 Player sjhak 943 	 is at point: 58 216
1445662976.3754	 Player sjhak 943 	 is at point: 56 210
1445662985.2563	Player Topblast 982 	 has left the game at point:16 223
1445662995.0673	 Player Topblast has logged in and is assigned the id 1302  point:43 234
1445662999.2539	 Player Topblast 1302 	 is at point: 40 228
1445663068.969	 Player Topblast has logged in and is assigned the id 951  point:16 210
1445663077.5488	 Player sjhak has logged in and is assigned the id 1034  point:72 224
1445663082.3511	 Player sjhak 1034 	 is at point: 56 221
1445663084.5275	 Player Topblast 951 	 is at point: 29 210
1445663084.7942	 Player sjhak 1034 	 is at point: 43 216
1445663093.2112	 Player sjhak 1034 	 is at point: 39 204
1445663095.0657	 Player sjhak 1034 	 is at point: 38 205
1445663096.0469	 Player Topblast 951 	 is at point: 41 204
1445663098.4384	 Player sjhak 1034 	 is at point: 28 213
1445663099.2116	 Player Topblast 951 	 is at point: 43 205
1445663100.2595	 Player sjhak 1034 	 is at point: 20 217
1445663103.6137	 Player Topblast 951 	 is at point: 28 213
1445663105.4272	 Player Topblast 951 	 is at point: 23 217
1445663111.7944	 Player Topblast 951 	 is at point: 14 229
1445663113.5266	 Player Topblast 951 	 is at point: 17 228
1445663114.9223	 Player sjhak 1034 	 is at point: 29 222
1445663117.2223	 Player Topblast 951 	 is at point: 29 222
1445663118.3451	 Player sjhak 1034 	 is at point: 42 229
1445663119.8585	 Player sjhak 1034 	 is at point: 40 228
1445663120.5469	 Player Topblast 951 	 is at point: 42 229
1445663121.7275	 Player Topblast 951 	 is at point: 40 228
1445663122.2037	 Player sjhak 1034 	 is at point: 40 216
1445663123.8865	 Player Topblast 951 	 is at point: 40 216
1445663125.0436	 Player sjhak 1034 	 is at point: 38 204
1445663127.857	 Player Topblast 951 	 is at point: 43 204
1445663128.1329	 Player sjhak 1034 	 is at point: 44 192
1445663130.4071	 Player Topblast 951 	 is at point: 44 192
1445663131.59	 Player sjhak 1034 	 is at point: 28 187
