1445970018,Player,Tearhead,1582,is,at,point:,36,228,,,,,
1445970019,Player,Geder,933,is,at,point:,29,233,,,,,
1445970020,Player,Tearhead,1582,has,has,recieved,a,flask,,,,,
1445970021,Player,Tearhead,1582,has,has,recieved,a,leatherarmor,,,,,
1445970022,Player,Poiviel,1272,is,at,point:,19,228,,,,,
1445970022,Player,Geder,933,is,at,point:,37,228,,,,,
1445970022,Player,Tearhead,1582,has,has,recieved,a,flask,,,,,
1445970024,Player,Geder,933,has,has,recieved,a,flask,,,,,
1445970025,Player,Poiviel,1272,is,at,point:,19,216,,,,,
1445970025,Player,Tearhead,1582,has,has,recieved,a,flask,,,,,
1445970026,Player,Tearhead,1582,has,has,recieved,a,flask,,,,,
1445970028,Player,Poiviel,1272,is,at,point:,19,204,,,,,
1445970032,Player,Miryred,has,logged,in,and,is,assigned,the,id,1663,point:43,232
1445970034,Player,Miryred,1663,is,at,point:,45,228,,,,,
1445970034,Player,Tearhead,1582,has,has,recieved,a,firepotion,,,,,
1445970036,Player,Geder,933,has,has,recieved,a,flask,,,,,
1445970037,Player,Poiviel,1272,is,at,point:,6,192,,,,,
1445970038,Player,Miryred,1663,is,at,point:,49,229,,,,,
1445970040,Player,Miryred,1663,is,at,point:,49,228,,,,,
1445970040,Player,Poiviel,1272,is,at,point:,6,180,,,,,
1445970043,Player,Geder,933,is,at,point:,57,218,,,,,
1445970045,Player,Tearhead,1582,is,at,point:,40,229,,,,,
1445970047,Player,Miryred,1663,is,at,point:,57,221,,,,,
1445970049,Player,Poiviel,1272,has,attacked,a,"mob,",player,hp:11,,,,
1445970049,Player,Miryred,1663,has,has,recieved,a,flask,,,,,
1445970050,Player,Poiviel,1272,has,attacked,a,"mob,",player,hp:8,,,,
1445970050,Player,Geder,933,is,at,point:,74,216,,,,,
1445970051,Player,Poiviel,1272,has,attacked,a,"mob,",player,hp:5,,,,
1445970051,Player,Miryred,1663,is,at,point:,66,229,,,,,
1445970052,Player,Poiviel,1272,has,attacked,a,"mob,",player,hp:4,,,,
1445970052,Player,Poiviel,1272,has,attacked,a,"mob,",player,hp:2,,,,
1445970053,Player,Poiviel,1272,has,left,the,game,at,point:,6,180,,
1445970053,Player,Poiviel,1272,has,attacked,a,"mob,",player,hp:-4,,,,
1445970055,Player,Tearhead,1582,is,at,point:,28,241,,,,,
1445970055,Player,Tearhead,1582,is,at,point:,28,241,,,,,
1445970057,Player,Miryred,1663,has,left,the,game,at,point:,82,234,,
1445970059,Player,Tearhead,1582,has,has,recieved,a,flask,,,,,
1445970060,Player,Tearhead,1582,has,has,recieved,a,flask,,,,,
1445970060,Player,Poiviel,1272,has,left,the,game,at,point:6,180,,,
1445970060,Player,Geder,933,is,at,point:,56,214,,,,,
1445970061,Player,Tearhead,1582,has,has,recieved,a,axe,,,,,
1445970061,Player,Miryred,1663,has,left,the,game,at,point:,77,237,,
1445970064,Player,Miryred,1663,is,at,point:,73,229,,,,,
1445970064,Player,Miryred,1663,has,has,recieved,a,flask,,,,,
1445970065,Player,Geder,933,has,has,recieved,a,firepotion,,,,,
1445970066,Player,Tearhead,1582,has,has,recieved,a,flask,,,,,
1445970066,Player,Miryred,1663,is,at,point:,69,216,,,,,
1445970067,Player,Geder,933,has,has,recieved,a,flask,,,,,
1445970067,Player,Tearhead,1582,has,has,recieved,a,flask,,,,,
1445970067,Player,Geder,933,has,has,recieved,a,flask,,,,,
1445970069,Player,Miryred,1663,is,at,point:,69,204,,,,,
1445970069,Player,Poiviel,has,logged,in,and,is,assigned,the,id,1796,point:13,225
1445970070,Player,Geder,933,is,at,point:,28,211,,,,,
1445970071,Player,Miryred,1663,is,at,point:,71,192,,,,,
1445970074,Player,Geder,933,has,left,the,game,at,point:,155,286,,
1445970074,Player,Tearhead,1582,is,at,point:,24,253,,,,,
1445970075,Player,Miryred,1663,is,at,point:,69,180,,,,,
1445970076,Player,Geder,933,has,attacked,a,"mob,",player,hp:120,,,,
1445970077,Player,Geder,933,has,attacked,a,"mob,",player,hp:120,,,,
1445970077,Player,Geder,933,has,killed,rat,72184,at,point:,157,283,,
1445970078,Player,Tearhead,1582,is,at,point:,26,252,,,,,
1445970079,Player,Geder,933,has,attacked,a,"mob,",player,hp:115,,,,
1445970079,Player,Geder,933,has,killed,rat,72182,at,point:,157,281,,
1445970079,Player,Geder,933,has,has,recieved,a,flask,,,,,
1445970080,Player,Tearhead,1582,is,at,point:,29,245,,,,,
1445970080,Player,Miryred,1663,has,left,the,game,at,point:69,180,,,
1445970083,Player,Miryred,has,logged,in,and,is,assigned,the,id,1864,point:40,232
1445970084,Player,Tearhead,1582,has,left,the,game,at,point:,127,299,,
1445970086,Player,Geder,933,has,attacked,a,"mob,",player,hp:125,,,,
1445970087,Player,Geder,933,has,attacked,a,"mob,",player,hp:124,,,,
1445970087,Player,Geder,933,has,killed,rat,72181,at,point:,153,281,,
1445970088,Player,Tearhead,1582,has,left,the,game,at,point:,38,245,,
1445970089,Player,Geder,933,has,attacked,a,"mob,",player,hp:124,,,,
1445970090,Player,Geder,933,has,attacked,a,"mob,",player,hp:119,,,,
1445970090,Player,Geder,933,has,killed,rat,72183,at,point:,153,283,,
1445970091,Player,Geder,933,has,attacked,a,"mob,",player,hp:119,,,,
1445970091,Player,Geder,933,has,has,recieved,a,flask,,,,,
1445970092,Player,Tearhead,1582,is,at,point:,56,240,,,,,
1445970092,Player,Miryred,1864,has,left,the,game,at,point:29,236,,,
1445970092,Player,Geder,933,has,has,recieved,a,flask,,,,,
1445970094,Player,Geder,933,has,left,the,game,at,point:,27,209,,
1445970094,Player,Tim,has,logged,in,and,is,assigned,the,id,1910,point:13,225
1445970095,Player,Tearhead,1582,is,at,point:,56,228,,,,,
1445970097,Player,Rusty,has,logged,in,and,is,assigned,the,id,1934,point:42,236
1445970098,Player,Geder,933,is,at,point:,19,217,,,,,
1445970100,Player,Tearhead,1582,is,at,point:,55,218,,,,,
1445970101,Player,Tearhead,1582,has,has,recieved,a,flask,,,,,
1445970103,Player,Tearhead,1582,has,has,recieved,a,flask,,,,,
