
1445967176.0838	rat 1722 has died of old age at point:20 228
1445967176.0846	rat 1723 has died of old age at point:68 228
1445967176.0855	rat 1724 has died of old age at point:12 293
1445967176.0863	rat 1725 has died of old age at point:36 130
1445967176.0872	rat 1726 has died of old age at point:21 296
1445967176.0877	rat 1820 has died of old age at point:6 295
1445967176.0881	rat 1821 has died of old age at point:9 243
1445967176.0886	rat 1822 has died of old age at point:30 136
1445967176.0895	rat 1823 has died of old age at point:19 210
1445967176.0904	rat 1824 has died of old age at point:42 212
1445967176.0913	rat 1825 has died of old age at point:35 126
1445967176.0921	rat 1826 has died of old age at point:25 154
1445967176.0929	crab 1970 has died of old age at point:9 245
1445967176.0937	crab 1971 has died of old age at point:16 139
1445967176.0946	crab 1972 has died of old age at point:43 270
1445967176.0951	crab 1973 has died of old age at point:15 247
1445967176.0955	crab 1974 has died of old age at point:46 271
1445967176.0964	crab 1975 has died of old age at point:69 223
1445967176.0973	crab 1976 has died of old age at point:23 153
1445967176.0981	crab 11070 has died of old age at point:24 156
1445967176.099	crab 11071 has died of old age at point:53 259
1445967176.0998	crab 11072 has died of old age at point:55 276
1445967176.1007	crab 11073 has died of old age at point:7 293
1445967176.1016	crab 11074 has died of old age at point:24 209
1445967176.1025	crab 11075 has died of old age at point:16 142
1445967176.1033	crab 11076 has died of old age at point:36 130
1445967176.1042	crab 11170 has died of old age at point:26 155
1445967176.1051	crab 11171 has died of old age at point:13 208
1445967176.1059	crab 11172 has died of old age at point:44 282
1445967176.1068	crab 11173 has died of old age at point:77 126
1445967176.1077	crab 11174 has died of old age at point:37 271
1445967176.1082	crab 11175 has died of old age at point:51 221
1445967176.109	crab 11176 has died of old age at point:12 247
1445967176.1098	crab 11770 has died of old age at point:53 271
1445967176.1106	crab 11771 has died of old age at point:54 283
1445967176.1114	crab 11772 has died of old age at point:22 225
1445967176.1123	crab 11773 has died of old age at point:37 135
1445967176.1131	crab 11774 has died of old age at point:40 285
1445967176.114	crab 11775 has died of old age at point:36 226
1445967176.1144	crab 11776 has died of old age at point:49 263
1445967176.1154	skeleton 11830 has died of old age at point:18 297
1445967176.1163	skeleton 11831 has died of old age at point:75 126
1445967176.1172	skeleton 11832 has died of old age at point:34 138
1445967176.1181	skeleton 11833 has died of old age at point:80 130
1445967176.1191	skeleton 11834 has died of old age at point:48 212
1445967176.12	skeleton 11835 has died of old age at point:19 143
1445967176.1205	skeleton 11836 has died of old age at point:36 135
1445967176.121	skeleton 11837 has died of old age at point:20 206
1445967176.1218	skeleton 11838 has died of old age at point:67 227
1445967176.1227	skeleton 11839 has died of old age at point:49 226
1445967176.1236	skeleton 118310 has died of old age at point:68 223
1445967176.1241	skeleton 118311 has died of old age at point:39 286
1445967176.1249	skeleton 118312 has died of old age at point:70 294
1445967176.1257	skeleton 118313 has died of old age at point:21 157
1445967176.1264	skeleton 118314 has died of old age at point:67 292
